id, name, latitude, longitude, address, area, city,cost,Cost_Type, rating,rating_type, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
765,The Suburban Bean,19.16,72.94,"First Floor, F-32, R Galleria, Mulund-Goregaon Link Road,Mulund West, Mumbai",Mulund West, Mumbai,  ? 750.00  , Budget Friendly ,4.10,Very Good,no,no,no,no,no,no
766,PJ's,19.07,72.83,"Pali Hill, Bandra WestSAISA Gymkhana, St. Anthony's Institute, 33rd Road,","Pali Hill, Bandra West", Mumbai,  ? 700.00  , Budget Friendly ,3.80,Very Good,no,no,yes,no,no,no
767,Home Chef,19.02,72.84,"71 Meher Building, Line of Sushrusha Hospital, Ranade Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,  ? 600.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
768,Satkar Rice Plate House,19.16,72.85,"15,1st Floor, Dreamland Building, Opposite Railway Station,Goregaon East, Mumbai",Goregaon East, Mumbai,  ? 500.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
769,Let's Go Eat,19.16,72.85,"1, F2, Hyde Park,Manpada, Thane West, 400610","Manpada, Thane West", Mumbai,  ? 700.00  , Budget Friendly ,4.50,Very Good,yes,no,no,no,no,no
770,Stomach,19.06,72.83,"Pali Hill, Bandra West116/117, Waterfield Road, Off Turner Road,","Pali Hill, Bandra West", Mumbai,  ? 500.00  , Budget Friendly ,2.30,Good,yes,no,yes,no,no,no
771,Anand Stall,19.10,72.84,"Opposite Mithibai College, Gulmohar Road 1,Vile Parle West, Mumbai",Vile Parle West, Mumbai,  ? 200.00  , Budget Friendly ,4.40,Very Good,no,no,no,no,no,no
772,Seasonal Tastes - The Westin Mumbai Garden City,19.17,72.86,"The Westin Mumbai Garden City, International Business Park, Oberoi Garden City,Goregaon East, Mumbai",Goregaon East, Mumbai,"  ? 4,000.00  ", Expensive ,3.80,Very Good,no,no,yes,yes,no,no
773,Pandora's Box,18.93,72.83,"Ground floor, Bake House, Behind Rhythm House, Kalaghoda,Fort, Fort, Mumbai",Fort, Mumbai,  ? 600.00  , Budget Friendly ,3.80,Very Good,yes,yes,no,no,yes,no
774,Village 12-20 Pure Veg,19.07,73.08,"Shop 19-23, Plot 1, Manomay CHS, Sector 35D,Kharghar, Navi Mumbai",Kharghar, Mumbai,  ? 500.00  , Budget Friendly ,4.00,Very Good,yes,no,no,yes,no,no
775,Over Load,19.07,73.08,"Shop 19-23, Plot 1, Manomay CHS, Sector 35D,Kharghar, Navi Mumbai","Andheri Lokhandwala, Andheri West", Mumbai,  ? 700.00  , Budget Friendly ,4.10,Very Good,no,no,no,no,no,no
776,Cafe Safar,19.15,72.83,"Oshiwara, Andheri WestNear Heera Panna Mall, Oshiwara, Link Road Andheri(w)Mumbai-102,","Oshiwara, Andheri West", Mumbai,  ? 600.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
777,Pali Village,19.28,72.89,"Western Express Highway, Ghodbunder Road,Mira Road, Mumbai",Mira Road, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.50,Good,no,no,yes,yes,no,no
778,Fire Bowl,19.18,72.84,"Ground Floor, Aruna Residency, Atmaram Compound, Near Dalmia College, Sundar Nagar,Malad West, Mumbai",Malad West, Mumbai,  ? 700.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
779,B Desi,19.14,72.83,"Ground Floor, Dreams Square, Daliya Estate, Off Link Road, Near Fun Republic Mall,Veera Desai Area, Mumbai",Veera Desai Area, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,no,yes,yes,yes,no,no
780,Dr. Bubbles Chai Specialist,19.06,72.83,"Hill Road, Bandra WestOpposite Marks and Spencers,","Hill Road, Bandra West", Mumbai,  ? 350.00  , Budget Friendly ,4.00,Very Good,no,no,no,no,no,no
781,Prasad Food Divine,19.16,72.94,"Mulund-Goregoan Link Road, Off LBS Marg,Mulund West, Mumbai",Mulund West, Mumbai,  ? 700.00  , Budget Friendly ,3.80,Very Good,no,no,no,no,no,no
782,Curry Me Up,19.19,72.84,"1, Old Sonal Industrial Estate,Malad West, Mumbai",Malad West, Mumbai,  ? 700.00  , Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
783,STOVE - The Vegetarian Kitchen,19.19,72.84,"Near CST Road, Kalina,Santacruz East, Mumbai",Santacruz East, Mumbai,  ? 600.00  , Budget Friendly ,3.70,Very Good,no,no,no,no,no,no
784,The Food Town,19.24,73.13,"Shop no. 2, Sahjanad Chowk, Near Katkar Hospital, Agra Road,Kalyanwest, Kalyan, Mumbai",Kalyan, Mumbai,  ? 400.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
785,Brew House Cafe,19.01,73.03,"Sector 15,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,yes,no,no
786,Mini Pancakes and More,19.07,72.82,"Carter Road, Bandra WestCCD Lane,","Carter Road, Bandra West", Mumbai,  ? 300.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
787,Yalla Yalla,19.11,72.83,"Shop 2, Om Vithoba Rukmani Apartments, Raut Lane , Near PVR cinemas,Juhu, Mumbai",Juhu, Mumbai,  ? 500.00  , Budget Friendly ,3.40,Good,yes,yes,no,yes,no,no
788,Mao The Family Restaurant,19.13,72.84,"63 - 64 Aboobakar Mahal Jai Prakash Road, Next ToAzad NagarMetro Station, Azad Nagar, Mumbai",Azad Nagar, Mumbai,  ? 900.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,yes,no
789,Aquafire Restaurant,19.11,72.85,"005-010, E Square Building, Near Garware House, Subhash Road,Vile Parle East, Mumbai",Vile Parle East, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.60,Very Good,yes,no,yes,yes,yes,no
790,Soi Kitchen,19.07,72.90,"The Destination Building, MG Road, Near Shopper's Stop,Chembur, Mumbai",Chembur, Mumbai,  ? 750.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
791,Oye Kiddan,19.12,72.87,"Ramkrishna Mandir Marg, Kondivita Road, Andheri East,Mahakali, Mumbai",Mahakali, Mumbai,  ? 300.00  , Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
792,Foodie Bros,19.05,72.91,"Shop 1, Jolitha Complex, Gatla Village Road, Patil Marg,Chembur, Mumbai",Chembur, Mumbai,  ? 500.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
793,Arya Bhavan,19.03,72.85,"Opposite Matunga Railway Station,Matunga East, Mumbai",Matunga East, Mumbai,  ? 400.00  , Budget Friendly ,4.30,Very Good,no,no,no,no,no,no
794,Chaayos,19.16,72.94,"Shop 21, Ground Floor, Runwal Galleria, Runwal Greens, Goregaon Link Road,Mulund West, Mumbai",Mulund West, Mumbai,  ? 500.00  , Budget Friendly ,3.80,Very Good,yes,no,no,yes,no,no
795,Stomach II,19.13,72.82,"7 Bungalows, Andheri WestRaheja Complex,","7 Bungalows, Andheri West", Mumbai,  ? 600.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
796,Cocoon- Dragonfly Hotel,19.11,72.86,"Hotel Dragonfly, NewChakalaLink Road, Near Solitaire Corporate Park, Chakala, Mumbai",Chakala, Mumbai,  ? 600.00  , Budget Friendly ,4.00,Very Good,yes,yes,no,yes,yes,no
797,TAPPA,19.01,72.83,"Unit 9, Oasis City, Kamala Mills, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,800.00  ", Moderate ,3.70,Very Good,no,no,yes,yes,no,no
798,Mumbai 90 Veg World,19.16,72.84,"Ground Floor, Chandiwala Arcade, Next to Absolute Furniture, Goregaon Link Road,Goregaon West, Mumbai",Goregaon West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,yes,no,no,no,yes,no
799,Indigo,18.92,72.83,"4, Mandlik Road,Colaba, Mumbai",Colaba, Mumbai,"  ? 4,500.00  ", Expensive ,4.20,Very Good,no,no,yes,yes,no,no
800,Souk - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 5,500.00  ", Expensive ,4.00,Very Good,no,no,yes,yes,no,no
801,Kaffeine,19.22,72.85,"Shop 1, Bhatia Apartment, S V Road, Next to Vijay Sales,Borivali West, Mumbai",Borivali West, Mumbai,  ? 500.00  , Budget Friendly ,4.00,Very Good,no,no,no,yes,no,no
802,The Salad Bar & Walnut Cafe,19.07,73.00,"F9, 1st Floor, Haware Infotech Park, Sector 30 A,Vashi, Navi Mumbai",Vashi, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.90,Very Good,yes,no,no,yes,no,no
803,Masala Cuisine,19.15,72.83,"Oshiwara, Andheri WestShop 14, Raigad Commercial Complex, New Link Road,","Oshiwara, Andheri West", Mumbai,  ? 850.00  , Budget Friendly ,4.00,Very Good,yes,yes,no,no,no,no
804,Kaizer Ethnique Cuisine,19.14,72.83,"Andheri Lokhandwala, Andheri WestB-47 Paramount Building, Monginis Factory Lane, New Link Road,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
805,Prakash Shakahari Upahaar Kendra,19.02,72.84,"Horizon Towers, Ranade Road Dadar West,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,  ? 150.00  , Budget Friendly ,4.30,Very Good,no,no,no,no,no,no
806,LSD - Love Sugar & Dough,19.15,72.83,"Oshiwara, Andheri West2, Meera Towers, Opposite Mega Mall, Oshiwara,","Oshiwara, Andheri West", Mumbai,  ? 400.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
807,And Chillies,19.04,72.84,"8 & 9, Mangireesh Society, LJ & MMC Road Junction,MahimWest, Mahim, Mumbai",Mahim, Mumbai,  ? 800.00  , Budget Friendly ,3.90,Very Good,yes,no,yes,no,yes,no
808,The Joy Pizzateria,19.18,72.84,"Shop 13-14, Ashok Enclave, Chincholi Bunder,Malad West, Mumbai",Malad West, Mumbai,  ? 950.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
809,China Inc - Taj Santacruz,19.09,72.85,"Taj Santacruz, Chhatrapati Shivaji International Airport, Off Western Express Highway,Santacruz East, Mumbai",Santacruz East, Mumbai,"  ? 2,500.00  ", Moderate ,3.90,Very Good,no,no,yes,yes,yes,no
810,Neopolitan Pizza,19.19,72.97,"Panch Pakhadi, Thane WestShop 1-3, Vihang Vihar CHS, Opposite Gautam Park,","Panch Pakhadi, Thane West", Mumbai,  ? 550.00  , Budget Friendly ,3.10,Good,yes,no,no,yes,no,no
811,Subway,19.12,72.87,"Ground Floor, Central Road, MIDC, Premier House,Mahakali, Mumbai",Mahakali, Mumbai,  ? 500.00  , Budget Friendly ,2.70,Good,yes,no,no,no,no,no
812,Paapi Paet,19.18,72.95,"Shop 9, Zeeneth Building, LBS Marg, Near Santoshi Mata Mandir,Mulund West, Mumbai",Mulund West, Mumbai,  ? 500.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
813,UFO's,19.21,72.87,"321-322, Dimple Arcade, Thakur Complex,Kandivali East, Mumbai",Kandivali East, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,no,yes,no
814,Lume Restaurant & Bar,19.12,72.85,"Hotel Aureole, Bima Nagar Society, Sir Mathuradas Vasanji Road, Telli Gali,Near Andheri East Station, Mumbai",Near Andheri East Station, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.00,Very Good,yes,yes,yes,yes,yes,no
815,Pergula,18.93,72.83,"166, MG Road, Opposite Regal Cinema,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,800.00  ", Moderate ,3.50,Good,no,no,yes,no,yes,no
816,Grab A Bite,19.18,72.95,"Ambaji Dam, Opposite Ram Punjab Hotel, Gauri Shankar Chawl, MG Road,Mulund West, Mumbai",Mulund West, Mumbai,  ? 300.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
817,Desi Culture,19.00,72.83,"C Wing, Trade World, Kamala Mills,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,300.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
818,Mocambo Cafe,18.93,72.83,"23/A, Sir Phirozshah Mehta Road,Fort, Mumbai",Fort, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,yes,yes,no
819,Shabari,19.08,72.84,"Balaji Darshan, Tilak Road,Santacruz West, Mumbai",Santacruz West, Mumbai,  ? 500.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
820,The Beer Cafe,19.03,72.84,"Plot 29/30, Shop 1-4, Mili CHD, T.H Kataria Road,Mahim, Mumbai",Mahim, Mumbai,"  ? 1,800.00  ", Moderate ,3.80,Very Good,no,no,yes,yes,no,no
821,Vanderlust,19.03,72.84,"Sagar Resham,Bandstand, Bandra West400050, Mumbai, Bandstand, Bandra West","Bandstand, Bandra West", Mumbai,  ? 400.00  , Budget Friendly ,3.50,Good,no,no,no,no,no,no
822,Orchids,19.06,72.90,"Hotel Royal Orchid, NG Acharya Marg,Chembur, Mumbai",Chembur, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.90,Very Good,yes,no,yes,no,yes,no
823,Gupta Sandwiches & Snacks,19.07,73.00,"4, JK Chamber, Sector 17,Vashi, Navi Mumbai",Vashi, Mumbai,  ? 450.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
824,Deliciae by Bunty Mahajan,19.07,72.83,"Opposite Curio Cottage,KharDanda Road, Khar, Mumbai",Khar, Mumbai,  ? 400.00  , Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
825,Gopala's Veg Kitchen,19.13,72.93,"Laxmi Udyog Nagar, IND Colony, LBS Marg, Kanjurmarg West,Bhandup, Mumbai",Bhandup, Mumbai,  ? 550.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
826,Healthy Treats,19.13,72.93,"Pali Hill, Bandra West22, Cherrysons, St Cyril's Road,","Pali Hill, Bandra West", Mumbai,  ? 400.00  , Budget Friendly ,3.90,Very Good,no,no,no,no,no,no
827,Gypsy Chinese,19.03,72.84,"121 Maryland Corner, Keluskar Marg,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
828,Mystery Box,19.18,72.83,"Eureka Towers, C Wing, Mind Space, Next to Barista, Near Goregaon Sports Club and Toyota Showroom,Malad West, Mumbai",Malad West, Mumbai,  ? 550.00  , Budget Friendly ,4.10,Very Good,yes,yes,no,no,yes,no
829,Maharashtra Lunch Home,19.04,73.02,"Shop 2, Paradise Apartments, Opposite SIES College, Sector 3,NerulEast, Nerul, Navi Mumbai",Nerul, Mumbai,  ? 400.00  , Budget Friendly ,4.00,Very Good,yes,no,no,yes,no,no
830,Kalinga,19.14,72.83,"Andheri Lokhandwala, Andheri WestNyayadeep Society, Behind SAB TV Tower, Oberoi Complex,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 700.00  , Budget Friendly ,3.50,Good,no,no,no,no,no,no
831,Shreejee's,19.15,72.83,"Oshiwara, Andheri West24 & 60, Link Plaza, Link Road Extension, Near Oshiwara Police Station,","Oshiwara, Andheri West", Mumbai,  ? 600.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,yes,no
832,Breadily Baked,19.15,72.83,"Shop 5, Coral Classic Commercial Complex, Road 20, Near Ambedkar Garden,Chembur, Mumbai",Chembur, Mumbai,  ? 300.00  , Budget Friendly ,3.90,Very Good,no,no,no,no,no,no
833,CarKhana,19.15,72.83,"Shop G9 Vishal Apartment, Opposite Maxus Banquet Hall, Near Maxus Mall, Temba Hospital Road,Bhayandar, Mumbai",Bhayandar, Mumbai,  ? 650.00  , Budget Friendly ,3.60,Very Good,no,no,no,no,no,no
834,The Bar Index,19.23,72.97,"Vasant Vihar, Thane WestEmerald Plaza, G3 & 4 Hiranadani Medows ,Pokaran Road,","Vasant Vihar, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,no,yes,no
835,Biryani By Kilo,19.23,72.97,"Shabbir Niwas,MahakaliCaves Road, Andheri East, Mahakali, Mumbai",Mahakali, Mumbai,  ? 700.00  , Budget Friendly ,3.30,Good,no,no,no,no,no,no
836,Breadkraft,19.14,72.82,"Andheri Lokhandwala, Andheri West15, Sun Swept Building, Lokhandwala Complex,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 300.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
837,Pangat,19.23,72.84,Borivali West,Borivali West, Mumbai,  ? 650.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
838,Mystery Box,19.18,72.83,"Eureka Towers, C Wing, Mind Space, Next to Barista, Near Goregaon Sports Club and Toyota Showroom,Malad West, Mumbai",Malad West, Mumbai,  ? 550.00  , Budget Friendly ,4.10,Very Good,yes,yes,no,no,yes,no
839,Shawarma Factory,19.12,72.84,"5, Naman Co Operative Housing Society, 22 Dadabhai Road,Azad Nagar, Mumbai",Azad Nagar, Mumbai,  ? 750.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
840,Masala Kraft - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 6,500.00  ", Expensive ,3.90,Very Good,no,no,yes,yes,no,no
841,Souk - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 5,500.00  ", Expensive ,4.00,Very Good,no,no,yes,yes,no,no
842,Sea Lounge - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 3,500.00  ", Expensive ,4.40,Very Good,no,no,no,yes,no,no
843,Wasabi By Morimoto - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 10,000.00  ", Expensive ,4.50,Very Good,no,no,yes,yes,no,no
844,Starbucks,18.92,72.83,"The Taj Mahal Palace & Tower, Ground Floor, Apollo Bunder, Opposite Gateway Of India,Colaba, Mumbai",Colaba, Mumbai,  ? 700.00  , Budget Friendly ,4.20,Very Good,no,no,no,yes,no,no
845,La Patisserie - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,no,no,yes,yes,no,no
846,Golden Dragon - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 5,000.00  ", Expensive ,4.10,Very Good,no,no,yes,yes,no,no
847,Harbour Bar - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 2,500.00  ", Moderate ,3.80,Very Good,no,no,yes,yes,no,no
848,Aquarius - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 3,000.00  ", Moderate ,3.30,Good,no,no,yes,yes,no,no
849,Ashok Vada Pav Stall,19.02,72.83,"Off Cadel Road, Kirti College Lane,Prabhadevi, Mumbai",Prabhadevi, Mumbai,  ? 100.00  , Budget Friendly ,4.30,Very Good,no,no,no,no,no,no
850,CarKhana,19.02,72.83,"Shop G9 Vishal Apartment, Opposite Maxus Banquet Hall, Near Maxus Mall, Temba Hospital Road,Bhayandar, Mumbai",Bhayandar, Mumbai,  ? 650.00  , Budget Friendly ,3.60,Very Good,no,no,no,no,no,no
851,Breadkraft,19.14,72.82,"Andheri Lokhandwala, Andheri West15, Sun Swept Building, Lokhandwala Complex,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 300.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
852,Maharashtra Lunch Home,19.04,73.02,"Shop 2, Paradise Apartments, Opposite SIES College, Sector 3,NerulEast, Nerul, Navi Mumbai",Nerul, Mumbai,  ? 400.00  , Budget Friendly ,4.00,Very Good,yes,no,no,yes,no,no
853,Biryani By Kilo,19.04,73.02,"Shabbir Niwas,MahakaliCaves Road, Andheri East, Mahakali, Mumbai",Mahakali, Mumbai,  ? 700.00  , Budget Friendly ,3.30,Good,no,no,no,no,no,no
854,The Bar Index,19.23,72.97,"Vasant Vihar, Thane WestEmerald Plaza, G3 & 4 Hiranadani Medows ,Pokaran Road,","Vasant Vihar, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,no,yes,no
855,Boulevard - The Orchid,19.10,72.85,"The Orchid Hotel, Level 1, 70/C, Nehru Road, Adjacent to Domestic Airport,Vile Parle East, Mumbai",Vile Parle East, Mumbai,"  ? 2,600.00  ", Moderate ,4.00,Very Good,no,no,yes,yes,no,no
856,Mama Mia!,18.97,72.83,"21/22, Clare Road,BycullaHouse, Byculla, Mumbai",Byculla, Mumbai,  ? 600.00  , Budget Friendly ,3.40,Good,yes,no,no,no,no,no
857,Italy in a Box,19.12,72.90,"1, Jheel Darshan ,CHS, Rambaugh, ADI Shankaracharya Marg,Powai, Mumbai",Powai, Mumbai,  ? 600.00  , Budget Friendly ,4.50,Very Good,yes,no,no,no,no,no
858,Mumbai 77,19.08,72.90,"G-1, Megor Arcade , M.G road , Next to Sindhuwadi, 
Near Satyam Shopping Centre,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,  ? 600.00  , Budget Friendly ,3.50,Good,yes,no,no,yes,no,no
859,Amoeba Sports Bar,19.09,72.89,"F 33, 1st Floor, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.80,Very Good,no,no,yes,no,no,no
860,Global Affair,19.22,72.84,"Shop 4, A- AHCL Homes, Link Road, Near Shimpholi tel exchange,Borivali West, Mumbai",Borivali West, Mumbai,"  ? 1,300.00  ", Budget Friendly ,3.70,Very Good,no,no,yes,no,yes,no
861,Falafel's,18.96,72.81,"6A, Ground Floor, B Block, Hasan Manzil House, August Kranti Marg, Gowlia Tank,Tardeo, Mumbai",Tardeo, Mumbai,  ? 600.00  , Budget Friendly ,3.30,Good,yes,no,no,no,no,no
862,Food,19.10,72.86,"Shop 1, Sahar Road, Near Suba International Hotel,Chakala, Mumbai",Chakala, Mumbai,  ? 400.00  , Budget Friendly ,3.50,Good,yes,no,no,no,no,no
863,Zyka,19.19,72.83,"Brindavan Building, Evershine Nagar, Near Movietime Cinema,Malad West, Mumbai",Malad West, Mumbai,  ? 600.00  , Budget Friendly ,3.50,Good,yes,no,no,no,no,no
864,Spirit Kitchen and Bar,19.22,72.84,"AHCL Building, Link Road, Opposite Shimpoli Telephone Exchange,Borivali West, Mumbai",Borivali West, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,no,no,yes,no,no,no
865,Snack & the Beanstock,19.16,72.85,"Shop 1, Sarvan Mansion, Next to Union Bank, Sonawala Road,Goregaon East, Mumbai",Goregaon East, Mumbai,  ? 800.00  , Budget Friendly ,4.20,Very Good,no,no,no,yes,no,no
866,Shiro,19.01,72.83,"Wadia International Center, Bombay Dyeing, Pandhurang Budhkar Marg,Worli, Mumbai",Worli, Mumbai,"  ? 3,000.00  ", Moderate ,3.80,Very Good,yes,no,yes,no,yes,no
867,Street Gourmet,19.23,72.85,"2, Aravali Business Park, Sodawala Lane,Borivali West, Mumbai",Borivali West, Mumbai,  ? 400.00  , Budget Friendly ,3.60,Very Good,yes,no,no,no,no,no
868,Ministry of Games,19.17,72.94,"Aviour Building, Nirmal Galaxy, LBS Marg,Mulund West, Mumbai",Mulund West, Mumbai,  ? 650.00  , Budget Friendly ,4.50,Very Good,no,yes,no,no,no,no
869,Sea Lounge - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 3,500.00  ", Expensive ,4.40,Very Good,no,no,no,yes,no,no
870,Lucky Restaurant,19.05,72.91,"Hotel Satyabhama, Opposite Amar Theatre, WT Patil Marg, Acharya Nagar,Chembur, Mumbai",Chembur, Mumbai,  ? 700.00  , Budget Friendly ,3.60,Very Good,yes,no,no,yes,yes,no
871,Shaollin Temple,19.01,73.04,"Krishna Avtar Building, Plot F/3, Palm Beach Road, Sector 14,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,yes,yes,no,no,no,no
872,Lucky Biryani,19.15,72.84,"Oshiwara, Andheri West4 & 5, A Wing, Vaibhav Palace, Malad Andheri Link Road,","Oshiwara, Andheri West", Mumbai,  ? 800.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
873,Cafe Terra - Executive Enclave,19.07,72.83,"Pali Hill, Bandra WestExecutive Enclave Hotel, Seventh Floor,","Pali Hill, Bandra West", Mumbai,"  ? 1,800.00  ", Moderate ,3.60,Very Good,yes,yes,yes,no,yes,yes
874,"Sun, Moon & Potatoes",19.12,72.87,"A/1, Rainbow Industrial Estate, Subhash Nagar, 23rd Road, MIDC, Andheri East,Mahakali, Mumbai",Mahakali, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
875,Cafe Heaven,19.18,72.84,"5, Ganga Niwas, Chincholi Bunder, Opposite Trends Hotel, Link Road,Malad West, Mumbai",Malad West, Mumbai,  ? 400.00  , Budget Friendly ,3.40,Good,yes,no,no,no,no,no
876,Chef's Biryani,19.12,72.91,"Powai, Mumbai",Powai, Mumbai,  ? 400.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
877,Fusion Dhaba,19.12,72.91,"16,Wagle Estate, Thane WestThane West Main Road, Near Fire Brigade, Wagle Estate, Wagle Estate","Wagle Estate, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
878,AndaMental - The Express Cafe,19.13,72.84,"Shop 4, Sarkar Corner, Junction of JP Road and Veera Desai Road,Azad NagarMetro Station, Azad Nagar, Mumbai",Azad Nagar, Mumbai,  ? 550.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
879,Almond Flowerr,19.14,72.83,"Andheri Lokhandwala, Andheri West461, Off Lokhandwala,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,yes,no,yes,yes,yes,yes
880,Ticca Tikka,19.14,72.83,"Andheri Lokhandwala, Andheri West4, Royal Classic, New link road,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 700.00  , Budget Friendly ,3.80,Very Good,yes,yes,no,no,yes,no
881,Bliss Veg Resto,19.17,72.95,"Sevaram Lalwani road, Opposite Vijay Society Hall,Mulund West, Mumbai",Mulund West, Mumbai,  ? 150.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
882,Bliss Veg Resto,19.17,72.95,"Sevaram Lalwani road, Opposite Vijay Society Hall,, Mumbai",Mulund West, Mumbai,  ? 150.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
